2 1/3,taza,harina de maiz
1/2,unidad,pan
1,unidad,huevo
1,pizca,sal
3,unidad,jamon
3,cucharada,aceite de oliva
2,unidad,puerro
1,diente,ajo
1,pote,queso ricotta
3,unidad,huevo
1/2,sobre,caldo de verduras
2,cucharadita,curcuma
