500,g,camaron
2,cucharada,mantequilla
1,ml,agua
3,unidad,puerro
1,diente,ajo
1,cucharada,tomillo
1/4,taza,vino tinto
1/4,taza,harina de maiz
1,hoja,laurel
1/3,taza,jugo de naranja
1,cucharada,ralladura de naranja
3,cucharada,concentrado de tomate
1,taza,crema de leche
x,unidad,pimienta negra
x,unidad,sal
x,unidad,tomillo
