1000,g,pechuga de pollo
1,cucharada,aceite
2,unidad,cebollin
2,cucharada,sesamo
x,unidad,arroz
1,unidad,brocoli
165,cc,salsa teriyaki
2/3,taza,salsa de soya
3,cucharada,vinagre de arroz
1 1/2,cucharadita,aceite de sesamo
2 1/2,cucharada,miel
1,diente,ajo
2 1/2,cucharadita,jengibre
3,cucharadita,maicena
