800,g,salmon
2,taza,agua
2,taza,vino blanco
1,cucharada,tomillo
1,unidad,zanahoria
1,unidad,puerro
1/2,unidad,cebolla
2,hoja,laurel
2,taza,jugo de naranja
2,taza,jugo de limon
1,taza,mantequilla
x,unidad,pimienta negra
x,unidad,sal
