75,g,mantequilla
2,cucharada,estragon
1,cucharadita,aji color
6,unidad,trutro de pollo
4,unidad,cebolla morada
2,diente,ajo
250,ml,vino blanco
6,cucharada,jerez
1 1/2,cucharada,maicena
100,ml,crema acida
x,unidad,sal
x,unidad,pimienta negra
