4,cucharada,aceite
1,taza,porotos verdes
1,taza,champinon
1/2,taza,pimiento rojo
1/2,taza,pimiento verde
1,taza,zanahoria
1,taza,brocoli
1,unidad,cebollin
125,g,dientes de dragon
1/2,taza,agua
x,unidad,almendras
