425,g,atun
1 1/2,taza,arroz
2,unidad,huevo
1/2,taza,queso parmesano
1/2,taza,choclo
1/4,taza,albahaca
1,cucharadita,sal
1,diente,ajo
2,cucharada,aceite
x,unidad,salsa de tomate
