Taza,rallada;110
Rodaja;3
Largo,ancho;7
Pequeño;50
Mediano;61
Largo;72
Taza,Picada;128
Mediana,tira;4
Taza,rebanadas;122
Taza;122
unidad;61
mediana;61
grande;72
chica;50
paquete;1000
pequeña;50
