Taza,Picada;149
Taza,rodajas;92
Anillo;10
bandas;27
Largo;164
Mediano;119
pequeño;74
Cucharada;9.3
taza;149
unidad;119
cucharadita;4.1
tarro;500
medio;119
Grande;186
