6,trozo,salmon
1,taza,semilla de sesamo
9,cucharada,azucar
3/4,taza,vinagre de manzana
3/4,taza,salsa de soya
3/4,taza,aceite vegetal
3,cucharada,miel
x,unidad,sal
x,unidad,pimienta negra
