4,filete,reineta
8,cucharada,mantequilla
250,g,camarones
250,g,ostiones
250,g,calamar
1/2,unidad,cebolla
1,diente,ajo
1/3,taza,tomate
1,cucharadita,aji de color
3,cucharada,harina de maiz
1,pote,caldo de pescado
500,ml,agua
2,cucharada,crema de leche
2,cucharada,perejil
