4,unidad,truto de pollo
4,diente,ajo
2,cucharada,salvia
1,unidad,cebolla
300,ml,cerveza
300,g,arroz integral
1/2,taza,arroz silvestre
200,g,champiñon paris
100,g,champiñones portobello
100,g,champiñon ostra
x,unidad,pimienta negra
x,unidad,sal
