800,gr,merluza
1/3,taza,aceite oliva
1/3,taza,vino blanco
1 ½,cucharadas,perejil
1,diente,ajo
1,x,yogurt natural
5,cucharadas,perejil
1,cucharadita,Alcaparras
1,cucharada,Sésamo
x,x,Jugo limón
1,cucharadita,Sal
4,x,zapallo camotes
1,cucharada,aceite oliva
½,cucharadita,Comino
1,cucharadita,Sal
1,cucharadita,Pimienta Negra
2,cucharadas,ciboulette
4,cucharadas,queso cabra
