Name;Author;Url;PreparationTime;Portions
Crema de espinacas casera;Gourmet;https://www.gourmet.cl/recetas/crema-de-espinacas-casera/;25;6 
Sopa de pollo;Gourmet;https://www.gourmet.cl/recetas/receta-sopa-de-pollo-gourmet/;35;4 
Crema de brócoli;Gourmet;https://www.gourmet.cl/recetas/crema-de-brocoli/;45;
Sopa de verduras;Gourmet;https://www.gourmet.cl/recetas/sopa-de-verduras/;35;4 
Budín de Zapallito Italiano;Gourmet;https://www.gourmet.cl/recetas/budin-zapallito-italiano/;60;6 
Ceviche de Reineta;Gourmet;https://www.gourmet.cl/recetas/ceviche-de-reineta/;30;4 
Huevos rellenos;Gourmet;https://www.gourmet.cl/recetas/huevos-rellenos/;15;4
Ceviche de Pulpo;Gourmet;https://www.gourmet.cl/recetas/ceviche-de-pulpo/;50;4 
Carpaccio de salmón;Gourmet;https://www.gourmet.cl/recetas/carpaccio-de-salmon/;20;6 
Centolla;Gourmet;https://www.gourmet.cl/recetas/centolla/;15;4 
Camarones al Ajillo;Gourmet;https://www.gourmet.cl/recetas/camarones-al-ajillo/;;4
Crema de Arvejas con Tocino;Gourmet;https://www.gourmet.cl/recetas/crema-de-arvejas-y-tocino/;15;4 
Ceviche de Salmón;Gourmet;https://www.gourmet.cl/recetas/ceviche-de-salmon/;15;4
Tiradito con Leche de Tigre;Gourmet;https://www.gourmet.cl/recetas/tiradito-con-leche-de-tigre/;15;4 
Kubbhe;Gourmet;https://www.gourmet.cl/recetas/kubbhe/;100;6
Torta de Panqueques Salada;Gourmet;https://www.gourmet.cl/recetas/torta-de-panqueques-salada/;6;8
Pulpo al Olivo;Gourmet;https://www.gourmet.cl/recetas/pulpo-al-olivo/;4;6
Machas en Salsa Verde;Gourmet;https://www.gourmet.cl/recetas/machas-con-salsa-verde/;15;4 
Crema de Choritos;Gourmet;https://www.gourmet.cl/recetas/crema-de-choritos/;20;4 
Mote con Machas y Salsa Verde;Gourmet;https://www.gourmet.cl/recetas/mote-con-machas-y-salsa-verde/;50;4 
Tártaro de Carne;Gourmet;https://www.gourmet.cl/recetas/tartaro-de-carne/;10;2
Hojitas de parra y repollo rellenas;Gourmet;https://www.gourmet.cl/recetas/hojitas-de-parra-y-repollo-rellenas/;60;4 
Palta Reina;Gourmet;https://www.gourmet.cl/recetas/palta-reina/;120;6 
Sopa de tomates y zanahorias al azafrán;Gourmet;https://www.gourmet.cl/recetas/sopa-de-tomates-y-zanahorias-al-azafran/;35;6 
Mini Strudels de Champiñón y Espinaca;Gourmet;https://www.gourmet.cl/recetas/mini-strudels-de-champinon-y-espinaca/;;
Tarta de zapallo y cebolla caramelizada;Gourmet;https://www.gourmet.cl/recetas/tarta-de-zapallo-y-cebolla-caramelizada/;65;8 
Salmón con Palta en Vasitos;Gourmet;https://www.gourmet.cl/recetas/vasitos-de-salmon-y-palta/;15;2 
Budín de Zapallo Italiano;Gourmet;https://www.gourmet.cl/recetas/budin-de-zapallitos-italianos/;60;5 
Tartaletas de Albahaca y Queso Parmesano;Gourmet;https://www.gourmet.cl/recetas/tartaletas-mini-de-albahaca-y-queso-parmesano/;20;6
Tarta de Tomates;Gourmet;https://www.gourmet.cl/recetas/tarta-de-tomates/;40;6 
Molde de Salmón Ahumado Relleno de Mousse de...;Gourmet;https://www.gourmet.cl/recetas/molde-de-salmon-ahumado-relleno-de-mousse-de.../;15;6 
Ceviche de Champiñones;Gourmet;https://www.gourmet.cl/recetas/cebiche-de-champinones/;20;8 
Empanadas Salteñas;Gourmet;https://www.gourmet.cl/recetas/empanadas-saltenas/;60;20
Fondue de Queso en Pan;Gourmet;https://www.gourmet.cl/recetas/fondue-de-queso-en-pan/;30;8 
Consomé de Pollo;Gourmet;https://www.gourmet.cl/recetas/consome-de-pollo/;30;10
Crema de Verduras;Gourmet;https://www.gourmet.cl/recetas/crema-de-verduras/;40;6 
Zapallo Italiano al Horno en Rodajas;Gourmet;https://www.gourmet.cl/recetas/rodajas-de-zapallitos-crocantes/;20;6 
Empanadas de Machas a la Parmesana;Gourmet;https://www.gourmet.cl/recetas/empanadas-de-machas-a-la-parmesana/;45;10 
Mini Strudels de Champiñones;Gourmet;https://www.gourmet.cl/recetas/mini-strudels-de-champinones/;30;8
Couscous con Zanahorias y Cilantro;Gourmet;https://www.gourmet.cl/recetas/couscous-con-zanahorias-y-cilantro/;30;4 
Bisque de Camarones;Gourmet;https://www.gourmet.cl/recetas/bisque-de-camarones/;60;4
Crema de Zapallo Italiano y Albahaca;Gourmet;https://www.gourmet.cl/recetas/sopa-de-zapallitos-italianos-y-albahaca/;30;4
Fritatta de Cebolla, Pimentones y Queso de Cabra;Gourmet;https://www.gourmet.cl/recetas/fritatta-de-cebolla,-pimentones-y-queso-de-cabra/;30;4
Sopa de Cebolla;Gourmet;https://www.gourmet.cl/recetas/sopa-de-cebolla/;120;10 
Napoleón de Salmón;Gourmet;https://www.gourmet.cl/recetas/napoleon-de-salmon/;25;2 
Bolitas de Tomate Seco y Tocino;Gourmet;https://www.gourmet.cl/recetas/bolitas-de-tomate-seco-y-tocino/;70;6 
Tarta de Espinacas y Ricotta con Tomates;Gourmet;https://www.gourmet.cl/recetas/tarta-de-espinacas-ricotta-y-tomates/;50;6 
Ostiones Acaramelados al Anís con Ensalada de...;Gourmet;https://www.gourmet.cl/recetas/ostiones-acaramelados-al-anis-con-ensalada-de.../;40;4 
Ostiones con Salsa de Vainilla;Gourmet;https://www.gourmet.cl/recetas/ostiones-con-salsa-de-vainilla/;30;4 
