3,cucharada,mantequilla
2,taza,harina de maiz
1/4,taza,azucar
2 1/2,cucharadita,polvo de hornear
1/2,cucharadita,bicarbonato
1,taza,leche
1,taza,yogurt griego
2,unidad,huevo
1,cucharadita,esencia de vainilla
1/2,taza,chips de chocolate
200,g,frambuesa
1,taza,miel
