8,unidad,huevo
240,ml,crema de leche
1,cucharadita,sal
1/2,cucharadita,pimienta negra
1,cucharada,eneldo
100,g,queso mozzarella
60,g,queso roquefort
14,g,mantequilla
100,g,salmon ahumado
100,g,esparrago
