1,cucharadita,mantequilla
1,grande,huevo
1,cucharada,harina de almendra
1/2,cucharadita,polvo de hornear
1,pizca,sal
100,g,palta
2,grande,huevo
x,unidad,sal
x,unidad,pimienta negra
