6,grande,huevo
325,g,queso roquefort
28,g,queso crema
3,cucharadita,polvo de hornear
55,g,avena
1/2,cucharadita,sal
1,cucharada,mantequilla
3,cucharada,semillas de chia
2,cucharada,amapola
