1500,g,papa
x,unidad,sal
2,cucharada,aceite de oliva
2,cucharada,aji amarillo
x,unidad,limon
x,unidad,pimienta
1,unidad,pechuga de pollo
4,cucharada,mayonesa
2,unidad,palta
x,unidad,huevo
x,unidad,tomate
x,unidad,cilantro
