4,grandes,tomates
2,cucharadas,concentrado tomates
1,x,ají verde
½,x,cebolla
1,taza,agua
1,cucharadita,vinagre manzanas
1/3,cucharadita,Comino
1/3,cucharadita,Pimienta Negra
½,cucharadita,Ajo Polvo
1,cucharadita,Orégano
x,x,sal
1,cucharada,aceite oliva
3,x,cebollines
½,cucharadita,Comino
1,cucharadita,Orégano
1,taza,pollo
½,taza,crema ácida
1,taza,queso cheddar
500,gr,harina
1,cucharadita,Polvos Hornear
250,gr,mantequilla
1 ½,taza,caldo pollo
