3,unidad,huevo
7 1/2,cucharada,mantequilla
14,cucharada,agua
270,g,chocolate amargo
1 1/2,taza,crema de leche
270,g,chocolate blanco
1 1/2,taza,crema de leche
200,g,frutilla
